isbn,book_name,author,publisher,price
9787111544937,算法导论,Thomas H. Cormen,机械工业出版社,128.00
9787115428028,Python编程：从入门到实践,Eric Matthes,人民邮电出版社,89.00
9787115546081,深入理解计算机系统,Randal E. Bryant,机械工业出版社,139.00
9787040396638,高等数学（第七版）,同济大学数学系,高等教育出版社,34.80
9787302518507,数据库系统概论（第5版）,王珊,清华大学出版社,49.00
9787115472588,JavaScript高级程序设计,Matt Frisbie,人民邮电出版社,129.00
9787302423287,数据结构（C语言版）,严蔚敏,清华大学出版社,39.00
9787115536587,机器学习,周志华,清华大学出版社,88.00
9787514234567,活着,余华,作家出版社,29.00
9787020002207,红楼梦,曹雪芹,人民文学出版社,59.70
9787544291163,百年孤独,加西亚·马尔克斯,南海出版公司,55.00
9787020008742,围城,钱钟书,人民文学出版社,33.00
9787544270878,小王子,安托万·德·圣-埃克苏佩里,南海出版公司,32.00
9787115293800,设计模式之禅,秦小波,人民邮电出版社,69.00
9787302484235,操作系统概念,Abraham Silberschatz,机械工业出版社,89.00
